rsi_period,entry,exit,stop,final,return_pct,trades,win_rate
10,52,67,0.01,923.4916364767873,-38.43389090154751,192,52.083333333333336
10,52,70,0.005,922.9887097627792,-38.46741934914806,244,36.47540983606557
10,51,67,0.007,922.8694400841827,-38.475370661054484,219,45.662100456621005
10,47,64,0.01,922.7979207725555,-38.48013861516297,180,51.66666666666667
10,52,66,0.01,922.5396632037558,-38.49735578641628,198,54.04040404040404
10,49,65,0.01,922.0224639499145,-38.53183573667237,184,53.80434782608695
10,49,70,0.005,921.1342622864339,-38.5910491809044,222,35.585585585585584
10,45,70,0.005,920.9225989640123,-38.605160069065846,212,34.43396226415094
10,54,70,0.005,918.9136017179317,-38.739093218804555,259,36.67953667953668
8,50,69,0.01,918.6293400053095,-38.75804399964603,206,52.42718446601942
8,50,70,0.01,918.6253224090613,-38.75831183939592,200,52.0
10,50,67,0.007,918.3110717493906,-38.77926188337396,213,45.07042253521127
10,46,70,0.005,917.9596487184543,-38.802690085436375,214,35.046728971962615
10,53,65,0.01,917.0176780781912,-38.86548812812058,218,55.5045871559633
8,47,67,0.01,915.7357022984236,-38.950953180105095,207,52.17391304347826
10,48,64,0.01,915.5727740378813,-38.96181506414125,185,52.972972972972975
10,49,64,0.01,914.9479543804292,-39.003469707971384,192,53.125
10,57,68,0.01,914.7344376449622,-39.01770415700252,211,49.763033175355446
10,47,69,0.007,914.6906258251801,-39.02062494498799,187,42.24598930481284
8,48,66,0.01,914.2156327707969,-39.05229114861354,227,53.74449339207048
10,49,69,0.005,914.2028001152072,-39.05314665898618,230,36.52173913043478
10,47,63,0.01,913.8710941877187,-39.07526038748542,193,53.8860103626943
10,52,69,0.005,913.65578951238,-39.089614032508,252,37.301587301587304
10,53,67,0.007,912.9599225099847,-39.13600516600102,234,47.008547008547005
10,54,66,0.01,912.8637588195019,-39.142416078699874,213,52.58215962441315
10,54,69,0.005,912.316618819078,-39.17889207872813,269,37.9182156133829
10,45,53,0.01,911.9224610799906,-39.205169261333964,267,50.187265917603
10,58,70,0.007,911.3312851303075,-39.24458099131284,236,43.64406779661017
10,57,70,0.005,911.1222536259108,-39.25851642493928,275,37.09090909090909
8,49,67,0.01,910.9975326072542,-39.26683115951638,224,53.125
10,60,69,0.01,910.3907445131293,-39.30728369912471,221,50.2262443438914
10,45,61,0.01,909.9092632526762,-39.33938244982159,195,52.307692307692314
8,46,67,0.007,909.5580770148757,-39.36279486567496,236,49.152542372881356
10,49,67,0.007,909.320538356067,-39.3786307762622,205,44.87804878048781
10,50,65,0.01,908.8652850227547,-39.408980998483024,194,53.608247422680414
10,45,54,0.01,908.2657730817293,-39.448948461218045,258,52.71317829457365
10,51,65,0.01,905.9697544806297,-39.602016367958015,203,54.679802955665025
10,58,69,0.007,905.3222611305735,-39.645182591295104,246,44.71544715447154
10,45,69,0.005,904.2107026801227,-39.71928648799182,217,35.02304147465438
8,46,69,0.007,904.1459689010597,-39.72360207326269,218,46.788990825688074
10,53,68,0.005,903.7382578268173,-39.75078281154551,265,38.49056603773585
8,50,68,0.01,903.696177342355,-39.75358817717633,217,53.45622119815668
8,45,67,0.007,902.712805197277,-39.81914632018153,229,48.90829694323144
8,46,68,0.007,900.6517867200313,-39.956547551997915,225,47.55555555555556
10,56,70,0.005,899.7083550525947,-40.01944299649368,271,36.53136531365313
10,54,68,0.007,899.4183508512008,-40.03877660991995,231,44.58874458874459
8,48,70,0.007,898.9705433804006,-40.06863044130663,225,46.22222222222222
10,51,64,0.01,898.5488542318599,-40.09674305120934,211,54.502369668246445
10,50,64,0.01,898.3398101629738,-40.110679322468414,202,53.46534653465347
10,59,70,0.007,898.3326467865029,-40.11115688089981,243,44.44444444444444
8,45,70,0.007,898.2114953118225,-40.119233645878495,205,45.36585365853659
10,55,70,0.005,898.2098084708583,-40.119346101942774,266,36.84210526315789
8,53,69,0.01,897.531283956559,-40.16458106956273,224,52.23214285714286
8,45,65,0.01,897.5221072980144,-40.165192846799044,212,53.77358490566038
8,48,65,0.01,897.0308060755956,-40.19794626162696,237,54.43037974683544
10,53,64,0.01,896.3958445419933,-40.240277030533775,227,55.06607929515418
10,46,69,0.005,896.1421168228637,-40.25719221180909,221,35.74660633484163
10,48,68,0.007,895.9568264318389,-40.26954490454408,192,42.70833333333333
10,48,70,0.005,894.946743903783,-40.3368837397478,219,35.15981735159817
10,60,70,0.007,894.7134401452917,-40.35243732364723,246,45.1219512195122
10,56,68,0.01,893.6939429916229,-40.42040380055848,207,49.275362318840585
8,46,65,0.01,893.0203061844866,-40.465312921034226,218,53.669724770642205
10,58,70,0.005,892.626789111416,-40.49154739257227,279,37.27598566308244
10,55,68,0.01,892.5861181618312,-40.49425878921126,204,49.01960784313725
10,51,70,0.003,892.3917521299428,-40.507216524670476,300,28.999999999999996
10,57,66,0.01,891.6490458792331,-40.556730274717786,228,52.19298245614035
10,46,61,0.01,891.481547302527,-40.5678968464982,201,52.736318407960205
10,54,67,0.01,890.5674536913702,-40.62883642057532,207,50.72463768115942
10,55,69,0.005,889.7717542781609,-40.681883048122614,276,38.04347826086957
10,57,69,0.005,889.4997512502163,-40.70001658331892,289,38.062283737024224
10,48,63,0.01,888.8999331427012,-40.740004457153255,200,54.0
10,56,69,0.005,888.5842455129683,-40.76105029913545,283,37.80918727915194
10,45,60,0.01,888.0219208177552,-40.79853861214965,202,52.97029702970298
10,58,68,0.01,887.8778187172148,-40.80814541885235,218,49.54128440366973
8,45,64,0.01,886.7224651543811,-40.885168989707935,220,55.00000000000001
10,52,65,0.01,886.2471604389126,-40.916855970739164,209,54.54545454545454
10,51,69,0.003,886.0949246168337,-40.92700502554442,308,29.87012987012987
8,49,70,0.007,885.7116129543492,-40.95255913637672,233,46.3519313304721
8,51,69,0.01,885.6179840184549,-40.95880106543635,211,51.65876777251185
10,49,63,0.01,884.0004998749675,-41.06663334166883,207,54.589371980676326
10,45,52,0.01,883.9488274510153,-41.07007816993231,278,47.122302158273385
8,47,66,0.01,883.7535070335069,-41.08309953109954,218,52.752293577981646
10,45,68,0.007,882.5898973765298,-41.16067350823134,185,41.08108108108108
